index,temp_25,temp_46,humid_25,humid_46
2016-04-11 14:00:00,20.4,14.4,38.0,80.0
2016-04-11 17:00:00,18.200001,16.9,40.0,67.0
2016-04-11 20:00:00,16.799999,16.6,53.0,65.0
2016-04-11 23:00:00,15.7,13.2,89.0,77.0
2016-04-12 02:00:00,15.5,10.1,92.0,88.0
2016-04-12 05:00:00,14.0,10.8,94.0,94.0
2016-04-12 08:00:00,13.4,11.6,89.0,96.0
2016-04-12 11:00:00,15.5,14.0,77.0,80.0
2016-04-12 14:00:00,17.5,16.200001,67.0,59.0
2016-04-12 17:00:00,16.200001,19.4,68.0,54.0
2016-04-12 20:00:00,13.7,14.8,79.0,50.0
2016-04-12 23:00:00,12.3,11.4,89.0,74.0
2016-04-13 02:00:00,11.0,8.4,94.0,86.0
2016-04-13 05:00:00,9.0,6.9,96.0,89.0
2016-04-13 08:00:00,10.9,6.0,80.0,91.0
2016-04-13 11:00:00,16.6,12.9,65.0,70.0
2016-04-13 14:00:00,17.700001,20.0,55.0,35.0
2016-04-13 17:00:00,14.9,21.9,53.0,29.0
2016-04-13 20:00:00,11.5,18.6,79.0,39.0
2016-04-13 23:00:00,8.4,14.1,88.0,70.0
2016-04-14 02:00:00,6.8,11.2,89.0,82.0
2016-04-14 05:00:00,6.1,9.1,91.0,86.0
2016-04-14 08:00:00,11.5,8.9,70.0,82.0
2016-04-14 11:00:00,19.9,12.8,35.0,69.0
2016-04-14 14:00:00,21.700001,16.200001,30.0,70.0
2016-04-14 17:00:00,17.799999,15.7,39.0,85.0
2016-04-14 20:00:00,11.7,14.1,74.0,85.0
2016-04-14 23:00:00,10.4,13.9,84.0,91.0
2016-04-15 02:00:00,9.1,12.9,87.0,98.0
2016-04-15 05:00:00,9.0,10.1,82.0,96.0
2016-04-15 08:00:00,12.6,10.1,67.0,98.0
2016-04-15 11:00:00,16.200001,12.7,67.0,78.0
2016-04-15 14:00:00,16.1,13.9,83.0,56.0
2016-04-15 17:00:00,15.6,15.2,85.0,70.0
