,year,day,hour,forecast,temp,hum
401,2018,26,2,46,-6.0,55.0
402,2018,26,5,25,-4.0,30.0
403,2018,26,5,46,-2.0,35.0
404,2018,26,8,25,-6.0,45.0
405,2018,26,8,46,-2.0,40.0
406,2018,26,11,25,-7.0,55.0
407,2018,26,11,46,-4.0,55.0
408,2018,26,14,25,-7.0,50.0
409,2018,26,14,46,-5.0,60.0
410,2018,26,17,25,-6.0,50.0
411,2018,26,17,46,-6.0,55.0
412,2018,26,20,25,-7.0,60.0
413,2018,26,20,46,-6.0,55.0
414,2018,26,23,25,-6.0,55.0
415,2018,26,23,46,-8.0,60.0
416,2018,27,2,25,-2.0,40.0
417,2018,27,2,46,-9.0,65.0
418,2018,27,5,25,-2.0,45.0
419,2018,27,5,46,-5.0,55.0
420,2018,27,8,25,-4.0,55.0
421,2018,27,8,46,-6.0,50.0
422,2018,27,11,25,-5.0,55.0
423,2018,27,11,46,-7.0,55.0
424,2018,27,14,25,-7.0,55.0
425,2018,27,14,46,-7.0,55.0
426,2018,27,17,25,-7.0,55.0
427,2018,27,17,46,-8.0,60.0
428,2018,27,20,25,-9.0,70.0
429,2018,27,20,46,-9.0,70.0
430,2018,27,23,25,-9.0,70.0
431,2018,27,23,46,-10.0,70.0
432,2018,28,2,25,-6.0,55.0
433,2018,28,2,46,-9.0,75.0
434,2018,28,5,25,-6.0,50.0
435,2018,28,5,46,-2.0,45.0
436,2018,28,8,25,-7.0,55.0
437,2018,28,8,46,0.0,50.0
438,2018,28,11,25,-7.0,55.0
439,2018,28,11,46,-2.0,55.0
440,2018,28,14,25,-8.0,65.0
441,2018,28,14,46,-3.0,65.0
442,2018,28,17,25,-9.0,65.0
443,2018,28,17,46,-3.0,65.0
444,2018,28,20,25,-10.0,65.0
445,2018,28,20,46,-3.0,65.0
446,2018,28,23,25,-9.0,70.0
447,2018,28,23,46,-4.0,70.0
448,2018,29,2,25,-2.0,45.0
449,2018,29,2,46,-4.0,70.0
450,2018,29,5,25,0.0,50.0
451,2018,29,5,46,0.0,35.0
452,2018,29,8,25,-1.0,55.0
453,2018,29,8,46,1.0,35.0
454,2018,29,11,25,-3.0,60.0
455,2018,29,11,46,-3.0,50.0
456,2018,29,14,25,-3.0,65.0
457,2018,29,14,46,-5.0,60.0
458,2018,29,17,25,-3.0,65.0
459,2018,29,17,46,-6.0,65.0
460,2018,29,20,25,-4.0,70.0
461,2018,29,20,46,-7.0,75.0
462,2018,29,23,25,-4.0,65.0
463,2018,29,23,46,-8.0,70.0
464,2018,30,2,25,0.0,35.0
465,2018,30,2,46,-7.0,65.0
466,2018,30,5,25,1.0,35.0
467,2018,30,5,46,0.0,30.0
468,2018,30,8,25,-3.0,50.0
469,2018,30,8,46,1.0,30.0
470,2018,30,11,25,-5.0,60.0
471,2018,30,11,46,-4.0,50.0
472,2018,30,14,25,-6.0,65.0
473,2018,30,14,46,-6.0,70.0
474,2018,30,17,25,-8.0,70.0
475,2018,30,17,46,-7.0,75.0
476,2018,30,20,25,-9.0,75.0
477,2018,30,20,46,-8.0,80.0
478,2018,30,23,25,-7.0,65.0
479,2018,30,23,46,-9.0,85.0
480,2018,31,2,25,-1.0,30.0
481,2018,31,2,46,-6.0,85.0
482,2018,31,5,25,1.0,25.0
483,2018,31,5,46,1.0,30.0
484,2018,31,8,25,-4.0,50.0
485,2018,31,8,46,3.0,30.0
486,2018,31,11,25,-6.0,65.0
487,2018,31,11,46,-2.0,55.0
488,2018,31,14,25,-6.0,70.0
489,2018,31,14,46,-5.0,65.0
490,2018,31,17,25,-7.0,75.0
491,2018,31,17,46,-4.0,75.0
492,2018,31,20,25,-8.0,75.0
493,2018,31,20,46,-4.0,65.0
494,2018,31,23,25,-6.0,75.0
495,2018,31,23,46,-6.0,55.0
496,2018,1,2,25,1.0,30.0
497,2018,1,2,46,-6.0,50.0
498,2018,1,5,25,3.0,25.0
499,2018,1,5,46,-5.0,40.0
500,2018,1,8,25,-2.0,50.0
501,2018,1,8,46,-5.0,40.0
502,2018,1,11,25,-5.0,60.0
503,2018,1,11,46,-7.0,45.0
504,2018,1,14,25,-4.0,60.0
505,2018,1,14,46,-8.0,50.0
506,2018,1,17,25,-5.0,60.0
507,2018,1,17,46,-8.0,50.0
508,2018,1,20,25,-7.0,55.0
509,2018,1,20,46,-9.0,55.0
510,2018,1,23,25,-7.0,50.0
511,2018,1,23,46,-10.0,50.0
512,2018,2,2,25,-5.0,40.0
513,2018,2,2,46,-9.0,50.0
514,2018,2,5,25,-5.0,40.0
515,2018,2,5,46,-6.0,35.0
516,2018,2,8,25,-7.0,45.0
517,2018,2,8,46,-5.0,35.0
518,2018,2,11,25,-8.0,50.0
519,2018,2,11,46,-7.0,40.0
520,2018,2,14,25,-8.0,50.0
521,2018,2,14,46,-8.0,50.0
522,2018,2,17,25,-9.0,50.0
523,2018,2,17,46,-8.0,45.0
524,2018,2,20,25,-10.0,50.0
525,2018,2,20,46,-9.0,50.0
526,2018,2,23,25,-9.0,45.0
527,2018,2,23,46,-10.0,50.0
528,2018,3,2,25,-6.0,35.0
529,2018,3,2,46,-9.0,50.0
530,2018,3,5,25,-5.0,35.0
531,2018,3,5,46,-7.0,40.0
532,2018,3,8,25,-7.0,45.0
533,2018,3,8,46,-6.0,40.0
534,2018,3,11,25,-8.0,50.0
535,2018,3,11,46,-8.0,45.0
536,2018,3,14,25,-8.0,45.0
537,2018,3,14,46,-9.0,50.0
538,2018,3,17,25,-9.0,50.0
539,2018,3,17,46,-9.0,45.0
540,2018,3,20,25,-9.0,50.0
541,2018,3,20,46,-10.0,50.0
542,2018,3,23,25,-9.0,50.0
543,2018,3,23,46,-12.0,50.0
544,2018,4,2,25,-7.0,40.0
545,2018,4,2,46,-11.0,50.0
546,2018,4,5,25,-6.0,35.0
547,2018,4,5,46,-7.0,40.0
548,2018,4,8,25,-7.0,45.0
549,2018,4,8,46,-7.0,40.0
550,2018,4,11,25,-8.0,45.0
551,2018,4,11,46,-9.0,40.0
552,2018,4,14,25,-9.0,50.0
553,2018,4,14,46,-9.0,50.0
554,2018,4,17,25,-10.0,50.0
555,2018,4,17,46,-10.0,55.0
556,2018,4,20,25,-11.0,50.0
557,2018,4,20,46,-11.0,60.0
558,2018,4,23,25,-10.0,50.0
559,2018,4,23,46,-12.0,70.0
560,2018,5,2,25,-7.0,40.0
561,2018,5,2,46,-11.0,60.0
562,2018,5,5,25,-7.0,40.0
563,2018,5,5,46,-4.0,40.0
564,2018,5,8,25,-8.0,45.0
565,2018,5,8,46,-2.0,35.0
566,2018,5,11,25,-9.0,50.0
567,2018,5,11,46,-5.0,50.0
568,2018,5,14,25,-10.0,50.0
569,2018,5,14,46,-7.0,65.0
570,2018,5,17,25,-11.0,60.0
571,2018,5,17,46,-8.0,75.0
572,2018,5,20,25,-11.0,65.0
573,2018,5,20,46,-8.0,75.0
574,2018,5,23,25,-10.0,60.0
575,2018,5,23,46,-9.0,70.0
576,2018,6,2,25,-4.0,45.0
577,2018,6,2,46,-8.0,65.0
578,2018,6,5,25,-2.0,35.0
579,2018,6,5,46,0.0,30.0
580,2018,6,8,25,-5.0,50.0
581,2018,6,8,46,1.0,30.0
582,2018,6,11,25,-7.0,70.0
583,2018,6,11,46,-3.0,50.0
584,2018,6,14,25,-8.0,75.0
585,2018,6,14,46,-5.0,65.0
586,2018,6,17,25,-8.0,75.0
587,2018,6,17,46,-6.0,75.0
588,2018,6,20,25,-9.0,70.0
589,2018,6,20,46,-7.0,75.0
590,2018,6,23,25,-8.0,65.0
591,2018,6,23,46,-7.0,70.0
592,2018,7,2,25,0.0,30.0
593,2018,7,2,46,-5.0,60.0
594,2018,7,5,25,1.0,25.0
595,2018,7,5,46,2.0,30.0
596,2018,7,8,25,-2.0,45.0
597,2018,7,8,46,5.0,40.0
598,2018,7,11,25,-5.0,65.0
599,2018,7,11,46,1.0,60.0
